workflow,model,n,macro_rmse,rmse_sd,macro_mae,mae_sd
Frozen features + Ridge,T,3,0.7736,0.092,0.6616,0.0816
Frozen features + Ridge,T+PPM,3,0.7613,0.0541,0.6843,0.0591
Frozen features + Ridge,T+MMoE,3,0.8294,0.056,0.709,0.0602
Frozen features + Ridge,TPM,3,0.7321,0.0486,0.6566,0.038
Full-network fine-tuning,T,3,0.8187,0.075,0.6944,0.0655
Full-network fine-tuning,T+PPM,3,0.6327,0.0269,0.5763,0.0347
Full-network fine-tuning,T+MMoE,3,0.7963,0.1208,0.6705,0.0596
Full-network fine-tuning,TPM,3,0.6745,0.03,0.6074,0.0296
Training from scratch,T,3,0.8171,0.0419,0.6393,0.0821
Training from scratch,T+PPM,3,0.6295,0.0533,0.5436,0.0373
Training from scratch,T+MMoE,3,0.7059,0.0811,0.633,0.0779
Training from scratch,TPM,3,0.597,0.0296,0.5387,0.0058
