method,input,n,unburned_iou,low_iou,moderate_iou,severe_iou,miou,miou_sd,oa,kappa,qwk,omae
dNBR rule,index only,1,0.8924,0.4568,0.7929,0.7995,0.7354,,0.899,0.772,0.942,0.101
RdNBR rule,index only,1,0.9006,0.3487,0.4397,0.5871,0.569,,0.8566,0.6812,0.9072,0.1523
dNBR2 rule,index only,1,0.8521,0.2308,0.2757,0.6034,0.4905,,0.8042,0.5518,0.8352,0.2172
SVM,21 pixel features,1,0.7682,0.0,0.0196,0.5284,0.329,,0.752,0.3256,0.716,0.316
Random Forest,21 pixel features,1,0.7909,0.0134,0.1824,0.4965,0.3708,,0.7602,0.3765,0.7595,0.288
XGBoost,21 pixel features,1,0.7664,0.0992,0.1586,0.5301,0.3886,,0.7474,0.3746,0.749,0.302
FCN,tri-stream,1,0.8974,0.3857,0.3161,0.5513,0.5376,,0.8284,0.6514,0.892,0.178
DeepLabv3+,tri-stream,3,0.9412,0.6205,0.4609,0.6726,0.6738,0.0017,0.8965,0.7905,0.9324,0.1058
SegFormer,tri-stream,3,0.9418,0.6226,0.4737,0.6762,0.6786,0.0039,0.8989,0.7936,0.9334,0.1036
U-Net,tri-stream,3,0.903,0.6236,0.593,0.7418,0.7154,0.01,0.9056,0.8068,0.9401,0.0962
SwinV2,post only,6,0.9042,0.3737,0.2894,0.365,0.4831,0.0063,0.8035,0.6185,0.8524,0.2117
SwinV2-UNet,post only,3,0.9282,0.4902,0.3882,0.5795,0.5965,0.005,0.8616,0.7219,0.9116,0.1445
Bi-SwinV2-UNet,pre + post,6,0.9438,0.6112,0.575,0.7958,0.7314,0.0016,0.9106,0.821,0.9451,0.0921
Tri-stream SwinV2-UNet,tri-stream,3,0.9431,0.656,0.6345,0.8123,0.7615,0.0021,0.9205,0.8404,0.9511,0.0817
Tri-stream + PPM-Lite,tri + PPM,3,0.9431,0.6649,0.6368,0.8076,0.7631,0.0011,0.9206,0.842,0.9516,0.0812
Tri-stream + MMoE,tri + MMoE,3,0.945,0.7183,0.7556,0.8756,0.8236,0.0041,0.9374,0.8751,0.9624,0.0633
TPM-SwinV2-UNet,tri + PPM + MMoE,3,0.946,0.7755,0.9278,0.9704,0.9049,0.0042,0.9564,0.9124,0.9733,0.0442
